Company Name,Market Cap,Year,Quarter,Negative Sentiment Score,Positive Sentiment Score,Neutral Sentiment Score,Negative Sentiment Count,Positive Sentiment Count,Neutral Sentiment Count,Doc Sentiment Score,Symbol,Sector
Mettler-Toledo International Inc.,25756367334,2023,2,0.197830518,0.247713932,0.554455551,0.20228385,0.244698206,0.553017945,0.042414356,MTD,healthcare
Myriad Genetics Inc,1446789248,2023,2,0.095528663,0.383546407,0.52092493,0.104,0.38,0.516,0.276,MYGN,healthcare
ENDRA Life Sciences Inc,8603840,2023,2,0.062695792,0.23009703,0.707207178,0.062893082,0.232704403,0.704402516,0.169811321,NDRA,healthcare
"NeoGenomics, Inc.",1796298240,2023,2,0.034866666,0.312181983,0.652951352,0.041152263,0.312757202,0.646090535,0.271604938,NEO,healthcare
Neogen Corporation,4923351988,2023,2,0.073038583,0.344294728,0.582666689,0.074626866,0.348258706,0.577114428,0.273631841,NEOG,healthcare
Inotiv Inc,86296000,2023,2,0.057818983,0.287444916,0.654736101,0.062992126,0.283464567,0.653543307,0.220472441,NOTV,healthcare
Natera Inc,6277465840,2023,2,0.025204914,0.364099348,0.610695738,0.028503563,0.365795724,0.605700713,0.337292162,NTRA,healthcare
Invitae Corp,276315508,2023,2,0.06221161,0.323029154,0.614759236,0.066115702,0.319559229,0.614325069,0.253443526,NVTA,healthcare
Olink Holding AB (publ),1996948580,2023,2,0.048909413,0.356966299,0.594124288,0.050445104,0.353115727,0.596439169,0.302670623,OLK,healthcare
"OpGen, Inc.",1223890,2023,2,0.041171986,0.255983582,0.702844432,0.042372881,0.262711864,0.694915254,0.220338983,OPGN,healthcare
"OPKO Health, Inc.",1313506714,2023,2,0.039798761,0.257888253,0.702312986,0.043165468,0.262589928,0.694244604,0.21942446,OPK,healthcare
Precipio Inc,10501236,2023,2,0.076509512,0.329796855,0.593693634,0.075471698,0.330188679,0.594339623,0.254716981,PRPO,healthcare
"Personalis, Inc.",82807326,2023,2,0.035380569,0.227190289,0.737429142,0.03630363,0.231023102,0.732673267,0.194719472,PSNL,healthcare
Qiagen NV,9974251250,2023,2,0.119438711,0.334001574,0.546559715,0.123786408,0.332524272,0.54368932,0.208737864,QGEN,healthcare
RadNet Inc,2047923834,2023,2,0.081052496,0.358928046,0.560019459,0.081632653,0.361516035,0.556851312,0.279883382,RDNT,healthcare
"Revvity, Inc.",14286475490,2023,2,0.119881954,0.219485097,0.66063295,0.11965812,0.222222222,0.658119658,0.102564103,RVTY,healthcare
Sera Prognostics Inc,63346280,2023,2,0.038278403,0.342108951,0.619612647,0.04494382,0.342696629,0.612359551,0.297752809,SERA,healthcare
Sotera Health Company,4638929009,2023,2,0.155012741,0.245949759,0.5990375,0.153061224,0.24829932,0.598639456,0.095238095,SHC,healthcare
Neuronetics Inc,46741148,2023,2,0.040136665,0.365797497,0.594065838,0.040590406,0.372693727,0.586715867,0.332103321,STIM,healthcare
Star Equity Holdings Inc,14893698,2023,2,0.058665069,0.239465751,0.701869181,0.060606061,0.242424242,0.696969697,0.181818182,STRR,healthcare
Thermo Fisher Scientific Inc,2.05304E+11,2023,2,0.128088139,0.321218337,0.550693524,0.127982646,0.318872017,0.553145336,0.190889371,TMO,healthcare
T2 Biosystms Inc,13083464,2023,2,0.054051066,0.316136281,0.629812653,0.056410256,0.317948718,0.625641026,0.261538462,TTOO,healthcare
Twist Bioscience Corp,1107510798,2023,2,0.098263196,0.337242812,0.564493992,0.099173554,0.334710744,0.566115702,0.23553719,TWST,healthcare
Aspira Womens Health Inc,22989530,2023,2,0.019125554,0.297995169,0.682879277,0.026143791,0.294117647,0.679738562,0.267973856,AWH,healthcare
Biodesix Inc,130436492,2023,2,0.04968419,0.344373493,0.605942316,0.049429658,0.342205323,0.608365019,0.292775665,BDSX,healthcare
Bionano Genomics Inc,932641649,2023,2,0.016799648,0.275740909,0.707459444,0.018726592,0.277153558,0.70411985,0.258426966,BNGO,healthcare
Volitionrx Ltd,95224750,2023,2,0.018323832,0.220956113,0.760720055,0.018315018,0.223443223,0.758241758,0.205128205,VNRX,healthcare
Waters Corporation,15772006912,2023,2,0.124069781,0.400484597,0.475445622,0.12195122,0.396895787,0.481152993,0.274944568,WAT,healthcare
Exagen Inc,43073792,2023,2,0.058701987,0.276161145,0.665136869,0.06147541,0.278688525,0.659836066,0.217213115,XGN,healthcare
Alcoa Corporation,5100484361,2023,2,0.089102413,0.267371261,0.643526326,0.09245283,0.267924528,0.639622642,0.175471698,AA,materials
Century Aluminum Company,728436360,2023,2,0.161915057,0.295955911,0.542129031,0.159090909,0.301136364,0.539772727,0.142045455,CENX,materials
Constellium SE,2463235140,2023,2,0.117820288,0.364122421,0.518057291,0.11827957,0.365591398,0.516129032,0.247311828,CSTM,materials
Kaiser Aluminum Corporation,1198748152,2023,2,0.143207129,0.313571488,0.543221383,0.154761905,0.305555556,0.53968254,0.150793651,KALU,materials
ATA Inc,38218939,2023,2,0.029505404,0.361545509,0.608949086,0.038834951,0.359223301,0.601941748,0.32038835,AACG,consumer-staples
"American Public Education, Inc.",104362554,2023,2,0.100556609,0.358053835,0.541389556,0.098958333,0.359375,0.541666667,0.260416667,APEI,consumer-staples
Adtalem Global Education Inc.,1859932380,2023,2,0.071282395,0.402057988,0.526659617,0.070175439,0.403508772,0.526315789,0.333333333,ATGE,consumer-staples
Chegg Inc,1203145800,2023,2,0.047474325,0.345786769,0.606738906,0.055232558,0.345930233,0.598837209,0.290697674,CHGG,consumer-staples
"Coursera, Inc.",2441647930,2023,2,0.059966836,0.325119583,0.614913581,0.064449064,0.324324324,0.611226611,0.25987526,COUR,consumer-staples
New Oriental Education & Technology Group Inc.,8960830740,2023,2,0.082432006,0.332329715,0.585238279,0.084,0.332,0.584,0.248,EDU,consumer-staples
"Laureate Education, Inc.",2239729500,2023,2,0.027809543,0.370800696,0.601389762,0.027777778,0.366666667,0.605555556,0.338888889,LAUR,consumer-staples
Lincoln Educational Services Corporation,273279568,2023,2,0.038679949,0.329058214,0.632261837,0.043650794,0.329365079,0.626984127,0.285714286,LINC,consumer-staples
"Grand Canyon Education, Inc.",3486479220,2023,2,0.089868777,0.259866808,0.650264415,0.097826087,0.253623188,0.648550725,0.155797101,LOPE,consumer-staples
"Stride, Inc.",1749933212,2023,2,0.102447645,0.360510382,0.537041973,0.109324759,0.356913183,0.533762058,0.247588424,LRN,consumer-staples
Perdoceo Education Corporation,1088420140,2023,2,0.054182456,0.278851829,0.666965715,0.053571429,0.276785714,0.669642857,0.223214286,PRDO,consumer-staples
Skillsoft Corp.,208845140,2023,2,0.117990461,0.334470373,0.547539166,0.121527778,0.333333333,0.545138889,0.211805556,SKIL,consumer-staples
Sunlands Technology Group,95030894,2023,2,0.059712158,0.325800493,0.614487349,0.06185567,0.319587629,0.618556701,0.257731959,STG,consumer-staples
"Strategic Education, Inc.",1919604684,2023,2,0.064538222,0.371701419,0.563760359,0.065934066,0.362637363,0.571428571,0.296703297,STRA,consumer-staples
TAL Education Group,4188868372,2023,2,0.071982377,0.278084401,0.649933221,0.082474227,0.278350515,0.639175258,0.195876289,TAL,consumer-staples
"Udemy, Inc.",1579299086,2023,2,0.090717146,0.377271876,0.532010978,0.096418733,0.374655647,0.52892562,0.278236915,UDMY,consumer-staples
Universal Technical Institute Inc,267422025,2023,2,0.068595001,0.353779333,0.577625667,0.073593074,0.350649351,0.575757576,0.277056277,UTI,consumer-staples
Vasta Platform Ltd,288451634,2023,2,0.042051707,0.377878958,0.580069334,0.04368932,0.373786408,0.582524272,0.330097087,VSTA,consumer-staples
Vitru Ltd,544025440,2023,2,0.056435896,0.391052349,0.552511755,0.063348416,0.389140271,0.547511312,0.325791855,VTRU,consumer-staples
"Aadi Bioscience, Inc.",148332590,2023,2,0.023047841,0.236394697,0.740557462,0.024509804,0.235294118,0.740196078,0.210784314,AADI,healthcare
Abcellera Biologics Inc,1611102240,2023,2,0.048860896,0.217006693,0.734132411,0.052478134,0.218658892,0.728862974,0.166180758,ABCL,healthcare
Abeona Therapeutics Inc.,83617254,2023,2,0.017435915,0.205788915,0.77677517,0.021857923,0.207650273,0.770491803,0.18579235,ABEO,healthcare
"Acumen Pharmaceuticals, Inc.",380897387,2023,2,0.024045068,0.186105876,0.789849056,0.03030303,0.189393939,0.78030303,0.159090909,ABOS,healthcare
Arbutus Biopharma Corporation,340574700,2023,2,0.027021089,0.206853464,0.766125448,0.029962547,0.213483146,0.756554307,0.183520599,ABUS,healthcare
ACADIA Pharmaceuticals Inc,4930789757,2023,2,0.026689961,0.24700734,0.726302699,0.030237581,0.24838013,0.721382289,0.218142549,ACAD,healthcare
"Achieve Life Sciences, Inc.",102679104,2023,2,0.042413541,0.228915354,0.728671105,0.044554455,0.227722772,0.727722772,0.183168317,ACHV,healthcare
Acasti Pharma Inc,16283679,2023,2,0.036534355,0.191416316,0.772049329,0.039647577,0.198237885,0.762114537,0.158590308,ACST,healthcare
"Acurx Pharmaceuticals, Inc.",25748809,2023,2,0.024278091,0.138667239,0.83705467,0.031545741,0.141955836,0.826498423,0.110410095,ACXP,healthcare
Adaptimmune Therapeutics plc,180043200,2023,2,0.028426516,0.147166748,0.824406736,0.027777778,0.152777778,0.819444444,0.125,ADAP,healthcare
ADC Therapeutics SA,110480220,2023,2,0.048312216,0.213803719,0.737884066,0.051851852,0.214814815,0.733333333,0.162962963,ADCT,healthcare
"ADMA Biologics, Inc.",897982888,2023,2,0.033637835,0.363402011,0.602960154,0.035135135,0.359459459,0.605405405,0.324324324,ADMA,healthcare
Adaptive Biotechnologies Corp,929362892,2023,2,0.058323758,0.315217006,0.626459236,0.063583815,0.309248555,0.62716763,0.24566474,ADPT,healthcare
Addex Therapeutics Ltd,9384783,2023,2,0.052313437,0.298499963,0.649186601,0.056074766,0.303738318,0.640186916,0.247663551,ADXN,healthcare
Affimed N.V.,76088225,2023,2,0.020773479,0.152570662,0.826655859,0.026455026,0.156084656,0.817460317,0.12962963,AFMD,healthcare
"Agios Pharmaceuticals, Inc.",1495679328,2023,2,0.027611088,0.37779808,0.594590832,0.029520295,0.380073801,0.590405904,0.350553506,AGIO,healthcare
AIM ImmunoTech Inc,29742060,2023,2,0.01989449,0.237313585,0.742791925,0.024691358,0.242798354,0.732510288,0.218106996,AIM,healthcare
Alector Inc,585963154,2023,2,0.034593044,0.150458472,0.814948485,0.035294118,0.156862745,0.807843137,0.121568627,ALEC,healthcare
Alkermes Plc,4923826203,2023,2,0.013676035,0.266041245,0.720282719,0.014662757,0.269794721,0.715542522,0.255131965,ALKS,healthcare
"Allogene Therapeutics, Inc.",568783800,2023,2,0.031026687,0.165676369,0.803296944,0.035175879,0.170854271,0.793969849,0.135678392,ALLO,healthcare
Alnylam Pharmaceuticals Inc,23501791980,2023,2,0.033929663,0.320760556,0.64530978,0.035532995,0.319796954,0.644670051,0.284263959,ALNY,healthcare
Altimmune Inc,126188032,2023,2,0.024414181,0.151053116,0.824532702,0.028938907,0.151125402,0.819935691,0.122186495,ALT,healthcare
"Amylyx Pharmaceuticals, Inc.",1430850845,2023,2,0.022568273,0.268684106,0.708747622,0.025454545,0.272727273,0.701818182,0.247272727,AMLX,healthcare
"Apellis Pharmaceuticals, Inc.",3664901790,2023,2,0.029722961,0.135075418,0.835201621,0.031779661,0.139830508,0.828389831,0.108050847,APLS,healthcare
Aptose Biosciences Inc.,27591985,2023,2,0.022526564,0.163185037,0.814288399,0.025641026,0.169230769,0.805128205,0.143589744,APTO,healthcare
Arcturus Therapeutics Holdings Inc.,827171820,2023,2,0.01116305,0.22226271,0.766574241,0.012658228,0.231012658,0.756329114,0.21835443,ARCT,healthcare
Ardelyx Inc,767773960,2023,2,0.020283137,0.309445776,0.670271088,0.020661157,0.309917355,0.669421488,0.289256198,ARDX,healthcare
argenx NV ADR,29516212356,2023,2,0.033719093,0.279315832,0.686965075,0.036674817,0.283618582,0.679706601,0.246943765,ARGX,healthcare
Arcutis Biotherapeutics Inc,446847233,2023,2,0.023013647,0.294300232,0.682686121,0.026162791,0.290697674,0.683139535,0.264534884,ARQT,healthcare
"Arrowhead Pharmaceuticals, Inc.",3065892000,2023,2,0.010319782,0.209137669,0.780542549,0.012526096,0.217118998,0.770354906,0.204592902,ARWR,healthcare
CIBUS GLOBAL LTD.,369653792,2023,2,0.023954389,0.196981053,0.779064558,0.026894866,0.19804401,0.775061125,0.171149144,CBUS,healthcare
"Avid Bioservices, Inc.",762787072,2023,2,0.054727025,0.343346664,0.601926312,0.055970149,0.343283582,0.600746269,0.287313433,CDMO,healthcare
Chromadex Corp,116197449,2023,2,0.055797383,0.417123826,0.527078791,0.059405941,0.409240924,0.531353135,0.349834983,CDXC,healthcare
Celcuity Inc.,219148824,2023,2,0.013480101,0.1538546,0.8326653,0.013157895,0.164473684,0.822368421,0.151315789,CELC,healthcare
Cerevel Therapeutics Holdings Inc,3393865947,2023,2,0.035226791,0.246917121,0.717856088,0.03601108,0.249307479,0.71468144,0.213296399,CERE,healthcare
Compugen Ltd.,93259824,2023,2,0.021852897,0.218243081,0.759904022,0.02970297,0.222772277,0.747524752,0.193069307,CGEN,healthcare
Cognition Therapeutics Inc,43037484,2023,2,0.020988457,0.176339655,0.802671888,0.023255814,0.181395349,0.795348837,0.158139535,CGTX,healthcare
Coherus BioSciences Inc,434555082,2023,2,0.015351302,0.306700966,0.677947733,0.016826923,0.305288462,0.677884615,0.288461538,CHRS,healthcare
Cellectis SA,102830030,2023,2,0.020863856,0.171180313,0.80795583,0.023622047,0.177165354,0.799212598,0.153543307,CLLS,healthcare
"Clearside Biomedical, Inc.",58595128,2023,2,0.032844367,0.154889816,0.812265816,0.036764706,0.154411765,0.808823529,0.117647059,CLSD,healthcare
"Chimerix, Inc.",88583600,2023,2,0.02104647,0.132384245,0.846569285,0.026755853,0.140468227,0.83277592,0.113712375,CMRX,healthcare
Corcept Therapeutics Incorporated,3191580760,2023,2,0.025634145,0.216314753,0.758051102,0.028818444,0.221902017,0.749279539,0.193083573,CORT,healthcare
Catalyst Pharmaceuticals Inc,1555002200,2023,2,0.004792903,0.316130914,0.679076183,0.00623053,0.317757009,0.676012461,0.31152648,CPRX,healthcare
Curis Inc,59418125,2023,2,0.020335504,0.182893928,0.796770568,0.02173913,0.190217391,0.788043478,0.168478261,CRIS,healthcare
CorMedix Inc.,222615555,2023,2,0.020573315,0.192258035,0.78716865,0.023584906,0.198113208,0.778301887,0.174528302,CRMD,healthcare
"Corvus Pharmaceuticals, Inc.",102450700,2023,2,0.029610542,0.179378352,0.791011107,0.032967033,0.186813187,0.78021978,0.153846154,CRVS,healthcare
Champions Oncology Inc,91113792,2023,2,0.128556628,0.234911343,0.63653203,0.130434783,0.231884058,0.637681159,0.101449275,CSBR,healthcare
CytomX Therapeutics Inc,98181572,2023,2,0.018838854,0.300532103,0.680629043,0.019704433,0.300492611,0.679802956,0.280788177,CTMX,healthcare
"Cue Biopharma, Inc.",129534600,2023,2,0.011599697,0.301288125,0.687112178,0.012232416,0.305810398,0.681957187,0.293577982,CUE,healthcare
Cyclacel Pharmaceuticals Inc,5643894,2023,2,0.014949737,0.129937398,0.855112866,0.02027027,0.128378378,0.851351351,0.108108108,CYCC,healthcare
"Cytokinetics, Incorporated",3150401364,2023,2,0.028479918,0.212033887,0.759486195,0.032894737,0.213815789,0.753289474,0.180921053,CYTK,healthcare
Dare Bioscience Inc,59536512,2023,2,0.02599418,0.177545933,0.796459887,0.032085561,0.187165775,0.780748663,0.155080214,DARE,healthcare
DBV Technologies,306357547,2023,2,0.007097166,0.092468504,0.90043433,0.008064516,0.096774194,0.89516129,0.088709677,DBVT,healthcare
DiaMedica Therapeutics Inc,110799692,2023,2,0.020310078,0.157934727,0.821755195,0.021857923,0.158469945,0.819672131,0.136612022,DMAC,healthcare
"Ginkgo Bioworks Holdings, Inc.",3461930081,2023,2,0.037255577,0.270278887,0.692465536,0.041904762,0.27047619,0.687619048,0.228571429,DNA,healthcare
Dyadic International Inc,53588646,2023,2,0.036553339,0.268988241,0.69445842,0.038709677,0.264516129,0.696774194,0.225806452,DYAI,healthcare
Editas Medicine Inc,702752396,2023,2,0.018668374,0.18920162,0.792130006,0.02266289,0.1898017,0.787535411,0.16713881,EDIT,healthcare
"Enanta Pharmaceuticals, Inc.",335201968,2023,2,0.037533462,0.135031083,0.827435456,0.042183623,0.136476427,0.82133995,0.094292804,ENTA,healthcare
Eton Pharmaceuticals Inc,114514756,2023,2,0.047616747,0.274845175,0.677538077,0.052287582,0.267973856,0.679738562,0.215686275,ETON,healthcare
Evaxion Biotech AS,26672890,2023,2,0.027227995,0.128163141,0.844608865,0.034334764,0.13304721,0.832618026,0.098712446,EVAX,healthcare
Evogene,38239406,2023,2,0.035012764,0.292958187,0.672029049,0.035714286,0.298701299,0.665584416,0.262987013,EVGN,healthcare
Exscientia plc,804219360,2023,2,0.015558803,0.259435003,0.725006194,0.016666667,0.263333333,0.72,0.246666667,EXAI,healthcare
Exelixis Inc,6958862519,2023,2,0.02307833,0.237809297,0.739112374,0.023310023,0.24009324,0.736596737,0.216783217,EXEL,healthcare
"Eyenovia, Inc.",69925520,2023,2,0.016904248,0.234459331,0.748636421,0.017964072,0.245508982,0.736526946,0.22754491,EYEN,healthcare
"EyePoint Pharmaceuticals, Inc.",526877184,2023,2,0.028478405,0.173443869,0.798077725,0.030534351,0.180661578,0.788804071,0.150127226,EYPT,healthcare
"Fate Therapeutics, Inc.",268589674,2023,2,0.045128403,0.195708672,0.759162925,0.04519774,0.197740113,0.757062147,0.152542373,FATE,healthcare
Fennec Pharmaceuticals Inc,218207248,2023,2,0.004542958,0.264779489,0.730677553,0.006711409,0.261744966,0.731543624,0.255033557,FENC,healthcare
"FibroGen, Inc.",122953824,2023,2,0.031246554,0.231287027,0.737466419,0.031553398,0.240291262,0.72815534,0.208737864,FGEN,healthcare
"Amicus Therapeutics, Inc.",3591349120,2023,2,0.024959921,0.354741808,0.620298271,0.026578073,0.352159468,0.621262458,0.325581395,FOLD,healthcare
Freeline Therapeutics Holdings plc,18329697,2023,2,0.026173501,0.243110349,0.73071615,0.033557047,0.241610738,0.724832215,0.208053691,FRLN,healthcare
Fortrea Holdings Inc.,2315900000,2023,2,0.064791639,0.249548651,0.68565971,0.063829787,0.252955083,0.68321513,0.189125296,FTRE,healthcare
"Fulcrum Therapeutics, Inc.",242095280,2023,2,0.029375694,0.145188442,0.825435864,0.028901734,0.156069364,0.815028902,0.12716763,FULC,healthcare
Geron Corporation,1338057231,2023,2,0.019313167,0.251271435,0.729415398,0.020080321,0.257028112,0.722891566,0.236947791,GERN,healthcare
Galapagos NV ADR,2559443364,2023,2,0.03131499,0.213595214,0.755089796,0.036697248,0.217125382,0.74617737,0.180428135,GLPG,healthcare
"GlycoMimetics, Inc.",104078034,2023,2,0.017550977,0.210347121,0.772101902,0.01980198,0.217821782,0.762376238,0.198019802,GLYC,healthcare
Genmab AS,23923288086,2023,2,0.017024164,0.218739038,0.764236798,0.017817372,0.220489978,0.76169265,0.202672606,GMAB,healthcare
Gamida Cell Ltd.,129872010,2023,2,0.01103016,0.261565738,0.727404102,0.012658228,0.261603376,0.725738397,0.248945148,GMDA,healthcare
"GeoVax Labs, Inc.",14305988,2023,2,0.01245015,0.244155563,0.743394287,0.011976048,0.245508982,0.74251497,0.233532934,GOVX,healthcare
Gracell Biotechnologies Inc.,215334336,2023,2,0.016029706,0.179710102,0.804260192,0.020661157,0.181818182,0.797520661,0.161157025,GRCL,healthcare
"G1 Therapeutics, Inc.",94022110,2023,2,0.044697005,0.234879868,0.720423127,0.048780488,0.234146341,0.717073171,0.185365854,GTHX,healthcare
"Halozyme Therapeutics, Inc.",5612201600,2023,2,0.017898732,0.338544478,0.64355679,0.022222222,0.338888889,0.638888889,0.316666667,HALO,healthcare
"Harmony Biosciences Holdings, Inc.",1937860200,2023,2,0.018206468,0.382885173,0.59890836,0.01937046,0.384987893,0.595641646,0.365617433,HRMY,healthcare
Heron Therapeuti,207641520,2023,2,0.04478366,0.294401643,0.660814697,0.049327354,0.291479821,0.659192825,0.242152466,HRTX,healthcare
Humacyte Inc,348484960,2023,2,0.022016033,0.170473041,0.807510926,0.022222222,0.17037037,0.807407407,0.148148148,HUMA,healthcare
ImmuCell Corporation,39276580,2023,2,0.131698551,0.157608353,0.710693096,0.135135135,0.162162162,0.702702703,0.027027027,ICCC,healthcare
"Intercept Pharmaceuticals, Inc.",433545840,2023,2,0.018087362,0.252440452,0.729472185,0.020050125,0.250626566,0.729323308,0.230576441,ICPT,healthcare
"Inhibikase Therapeutics, Inc.",12057500,2023,2,0.06959076,0.160107745,0.770301495,0.072916667,0.166666667,0.760416667,0.09375,IKT,healthcare
I-Mab,158303214,2023,2,0.020318359,0.239342147,0.740339494,0.023376623,0.241558442,0.735064935,0.218181818,IMAB,healthcare
Immunocore Holdings Ltd,2767040472,2023,2,0.003267105,0.254400816,0.742332079,0.003164557,0.259493671,0.737341772,0.256329114,IMCR,healthcare
"ImmunoGen, Inc.",4123676700,2023,2,0.026039397,0.251883722,0.722076881,0.027522936,0.256880734,0.71559633,0.229357798,IMGN,healthcare
Imunon Inc,10188640,2023,2,0.04642608,0.155404275,0.798169646,0.047008547,0.158119658,0.794871795,0.111111111,IMNN,healthcare
"Immunic, Inc.",73266270,2023,2,0.023365837,0.193772164,0.782861999,0.026315789,0.205263158,0.768421053,0.178947368,IMUX,healthcare
Incyte Corporation,14473949440,2023,2,0.021826239,0.257139959,0.721033802,0.023454158,0.260127932,0.71641791,0.236673774,INCY,healthcare
INmune Bio Inc,140517180,2023,2,0.087770869,0.159972669,0.752256462,0.093617021,0.165957447,0.740425532,0.072340426,INMB,healthcare
"Inovio Pharmaceuticals, Inc.",115868340,2023,2,0.04134618,0.212692812,0.745961008,0.042857143,0.219047619,0.738095238,0.176190476,INO,healthcare
Insmed Inc,3001525824,2023,2,0.023141966,0.290455148,0.686402886,0.025380711,0.291032149,0.68358714,0.265651438,INSM,healthcare
Ionis Pharmaceuticals Inc,5609206400,2023,2,0.010572416,0.350881696,0.638545888,0.011415525,0.351598174,0.636986301,0.340182648,IONS,healthcare
"Iovance Biotherapeutics, Inc.",1556454160,2023,2,0.012503585,0.173604631,0.813891784,0.015345269,0.184143223,0.800511509,0.168797954,IOVA,healthcare
Immunoprecise Antibodies Ltd,52856133,2023,2,0.030661494,0.295370095,0.673968411,0.033950617,0.293209877,0.672839506,0.259259259,IPA,healthcare
Iterum Therapeutics PLC,12721184,2023,2,0.009599917,0.183881485,0.806518598,0.009345794,0.186915888,0.803738318,0.177570093,ITRM,healthcare
Invivyd Inc.,183929760,2023,2,0.027871135,0.203519172,0.768609693,0.029411765,0.205882353,0.764705882,0.176470588,IVVD,healthcare
Jaguar Animal Health Inc,8998738,2023,2,0.044222053,0.207949811,0.747828136,0.044871795,0.211538462,0.743589744,0.166666667,JAGX,healthcare
Jazz Pharmaceuticals PLC,8889093305,2023,2,0.039591558,0.375356185,0.585052257,0.042553191,0.372340426,0.585106383,0.329787234,JAZZ,healthcare
Kiniksa Pharmaceuticals Ltd,1202970498,2023,2,0.010372853,0.33929789,0.650329257,0.016483516,0.335164835,0.648351648,0.318681319,KNSA,healthcare
Karyopharm Therapeutics Inc.,180135800,2023,2,0.027609077,0.291613608,0.680777315,0.029498525,0.297935103,0.672566372,0.268436578,KPTI,healthcare
Karuna Therapeutics Inc,6548581160,2023,2,0.031173671,0.146049711,0.822776618,0.032418953,0.152119701,0.815461347,0.119700748,KRTX,healthcare
Kura Oncology Inc,809165448,2023,2,0.028642019,0.207348248,0.764009733,0.03286385,0.208920188,0.758215962,0.176056338,KURA,healthcare
"Kymera Therapeutics, Inc.",1124407574,2023,2,0.018747692,0.175612402,0.805639906,0.020348837,0.180232558,0.799418605,0.159883721,KYMR,healthcare
Lineage Cell Therapeutics Inc,233138380,2023,2,0.062246507,0.24337045,0.694383043,0.067524116,0.247588424,0.68488746,0.180064309,LCTX,healthcare
Legend Biotech Corporation,12278296625,2023,2,0.039364092,0.220473667,0.740162241,0.044247788,0.227138643,0.728613569,0.182890855,LEGN,healthcare
Ligand Pharmaceuticals Incorporated,1143784950,2023,2,0.023800348,0.278677219,0.697522433,0.027210884,0.278911565,0.693877551,0.25170068,LGND,healthcare
